weight,height,gender
65.6,174,1
71.8,175.3,1
80.7,193.5,1
72.6,186.5,1
78.8,187.2,1
74.8,181.5,1
86.4,184,1
78.4,184.5,1
62,175,1
81.6,184,1
76.6,180,1
83.6,177.8,1
90,192,1
74.6,176,1
71,174,1
79.6,184,1
93.8,192.7,1
70,171.5,1
72.4,173,1
85.9,176,1
78.8,176,1
77.8,180.5,1
66.2,172.7,1
86.4,176,1
81.8,173.5,1
89.6,178,1
82.8,180.3,1
76.4,180.3,1
63.2,164.5,1
60.9,173,1
74.8,183.5,1
70,175.5,1
72.4,188,1
84.1,189.2,1
69.1,172.8,1
59.5,170,1
67.2,182,1
61.3,170,1
68.6,177.8,1
80.1,184.2,1
87.8,186.7,1
84.7,171.4,1
73.4,172.7,1
72.1,175.3,1
82.6,180.3,1
88.7,182.9,1
84.1,188,1
94.1,177.2,1
74.9,172.1,1
59.1,167,1
75.6,169.5,1
86.2,174,1
75.3,172.7,1
87.1,182.2,1
55.2,164.1,1
57,163,1
61.4,171.5,1
76.8,184.2,1
86.8,174,1
72.2,174,1
71.6,177,1
84.8,186,1
68.2,167,1
66.1,171.8,1
72,182,1
64.6,167,1
74.8,177.8,1
70,164.5,1
101.6,192,1
63.2,175.5,1
79.1,171.2,1
78.9,181.6,1
67.7,167.4,1
66,181.1,1
68.2,177,1
63.9,174.5,1
72,177.5,1
56.8,170.5,1
74.5,182.4,1
90.9,197.1,1
93,180.1,1
80.9,175.5,1
72.7,180.6,1
68,184.4,1
70.9,175.5,1
72.5,180.6,1
72.5,177,1
83.4,177.1,1
75.5,181.6,1
73,176.5,1
70.2,175,1
73.4,174,1
70.5,165.1,1
68.9,177,1
102.3,192,1
68.4,176.5,1
65.9,169.4,1
75.7,182.1,1
84.5,179.8,1
87.7,175.3,1
86.4,184.9,1
73.2,177.3,1
53.9,167.4,1
72,178.1,1
55.5,168.9,1
58.4,157.2,1
83.2,180.3,1
72.7,170.2,1
64.1,177.8,1
72.3,172.7,1
65,165.1,1
86.4,186.7,1
65,165.1,1
88.6,174,1
84.1,175.3,1
66.8,185.4,1
75.5,177.8,1
93.2,180.3,1
82.7,180.3,1
58,177.8,1
79.5,177.8,1
78.6,177.8,1
71.8,177.8,1
116.4,177.8,1
72.2,163.8,1
83.6,188,1
85.5,198.1,1
90.9,175.3,1
85.9,166.4,1
89.1,190.5,1
75,166.4,1
