Date,DE,GD,MCD,PLTR
9/30/2020,207.7524719,122.8386536,195.8184204,9.5
10/1/2020,205.3246307,122.6523209,195.9076233,9.460000038
10/2/2020,210.7145691,124.6666565,198.6554871,9.199999809
10/5/2020,212.748703,126.6543579,201.688797,9.029999733
10/6/2020,211.9612885,126.2816315,199.922287,9.899999619
10/7/2020,216.1326752,128.5533142,202.0545502,10
10/8/2020,219.572876,129.6889343,201.4479218,10
10/9/2020,220.107193,128.4549713,200.5825348,9.949999809
10/12/2020,221.7101135,129.4117279,201.7244263,9.890000343
10/13/2020,222.3662567,128.079422,202.8307343,9.470000267
10/14/2020,223.5380402,127.7664948,203.0716095,9.340000153
10/15/2020,223.3224335,125.9066467,204.8737793,9.909999847
10/16/2020,225.0284424,127.1852646,204.6328888,9.710000038
10/19/2020,223.2567749,124.0020523,201.6263275,9.569999695
10/20/2020,223.9129791,123.8053436,202.9199371,9.270000458
10/21/2020,221.59758,122.151123,203.5801697,9.199999809
10/22/2020,222.0475922,124.6637344,204.4366302,9.680000305
10/23/2020,224.5316315,125.8082733,204.0440521,9.489999771
10/26/2020,219.5822601,123.8500519,200.082901,9.949999809
10/27/2020,214.2016449,120.5952911,198.9230804,10.94999981
10/28/2020,209.3834686,118.4135513,191.5361023,10.85000038
10/29/2020,213.7423096,117.421051,191.7680359,10.75
10/30/2020,211.7644653,117.4299774,190.0283508,10.13000011
11/2/2020,217.1918945,121.6861954,189.635788,10.53999996
11/3/2020,224.9347076,123.5728607,193.4185638,10.5
11/4/2020,218.6916962,124.3686371,191.6967163,10.72000027
11/5/2020,230.6152649,124.4223175,192.9813843,11.88000011
11/6/2020,232.1338501,124.5743103,193.2043915,13.82999992
11/9/2020,233.2867584,131.5577087,190.2246399,14.67000008
11/10/2020,238.0674744,135.2952728,190.313858,14
11/11/2020,233.7367096,134.3832092,194.5069275,15.96000004
11/12/2020,232.4806366,131.8885651,190.0908051,14.57999992
11/13/2020,236.0239563,135.1522369,190.2781677,15.80000019
11/16/2020,242.876236,136.7438507,193.3560944,15.93000031
11/17/2020,242.0419617,135.4383698,192.7137146,17.85000038
11/18/2020,241.217041,137.2535248,192.2765808,17.89999962
11/19/2020,239.585968,134.1149902,191.9107819,18.97999954
11/20/2020,242.3700714,132.6575317,191.0008087,18.14999962
11/23/2020,244.760376,134.1418915,193.5969696,21.04000092
11/24/2020,245.1353607,137.4055328,196.0146942,23.81999969
11/25/2020,240.3734283,135.9480133,195.6846313,29.04999924
11/27/2020,245.5478363,135.9659271,194.7835236,27.65999985
11/30/2020,245.2384491,133.5427399,195.1424866,27.11000061
12/1/2020,239.1548004,135.6976776,193.9758148,25.67000008
12/2/2020,242.7825012,137.1194,189.2372742,22.51000023
12/3/2020,236.8582306,137.5932922,189.8206024,24.03000069
12/4/2020,237.5237732,139.5246887,189.1295776,23.85000038
12/7/2020,236.2302094,136.806427,187.4692841,28.94000053
12/8/2020,236.7832489,137.3160858,187.0205688,28.59000015
12/9/2020,238.873642,137.8257599,187.2898102,26.62999916
12/10/2020,237.5800323,134.4547424,186.7064362,27.04000092
12/11/2020,239.7547455,135.3131561,186.4551697,27.20000076
12/14/2020,236.8957062,137.1104431,190.1885986,27.23999977
12/15/2020,245.5852356,138.2371063,192.8270874,26.43000031
12/16/2020,244.7697144,137.164093,191.8757782,25.92000008
12/17/2020,247.966217,135.5457001,192.2796173,27.22999954
12/18/2020,253.7498932,136.5113373,193.0245209,25.96999931
12/21/2020,250.9846039,133.8288727,189.9642029,28.51000023
12/22/2020,252.4000854,130.9943848,190.1885986,28.04000092
12/23/2020,251.1627045,132.4697266,190.2783051,28.69000053
12/24/2020,252.3531342,133.2387238,189.7128754,27.75
12/28/2020,250.7503357,132.9794159,192.0731964,25.62999916
12/29/2020,248.7254944,131.9332428,190.8975525,24.65999985
12/30/2020,250.2014465,132.6038818,189.8654633,25.10000038
12/31/2020,252.9276886,133.0688629,192.5757904,23.54999924
1/4/2021,251.6021118,130.4936523,188.6629028,23.37000084
1/5/2021,257.8442993,130.5562439,189.7936554,24.60000038
1/6/2021,272.9606323,133.8914795,189.3628998,23.54000092
1/7/2021,281.7691956,135.6618958,190.2424011,25
1/8/2021,276.2980042,134.812439,193.7335052,25.20000076
1/11/2021,277.247467,135.7155304,192.2617035,25.93000031
1/12/2021,283.9878235,137.2535248,189.9013977,26.18000031
1/13/2021,283.1699524,136.4755859,190.3411407,25.5
1/14/2021,284.7022705,138.78125,187.1192627,24.92000008
1/15/2021,277.6986694,137.9526672,188.3846893,25.63999939
1/19/2021,277.3132629,137.916626,187.6487427,26.62000084
1/20/2021,282.9066772,138.7272186,191.7232208,26.34000015
1/21/2021,287.1934204,136.0522766,191.6334534,25.97999954
1/22/2021,286.8832092,137.5924072,191.4988251,32.58000183
1/25/2021,280.3309326,137.9436646,191.4629517,36.22999954
1/26/2021,278.2721558,135.3947906,193.2937469,35.36999893
1/27/2021,263.9077759,137.5563354,185.773056,39
1/28/2021,275.4048767,135.4848785,185.611557,35.65999985
1/29/2021,271.4941406,132.1074066,186.5269012,35.18000031
2/1/2021,274.6997986,132.9990692,186.6077118,33.95999908
2/2/2021,284.4108582,134.9354706,188.2500763,31.02000046
2/3/2021,283.094696,137.871582,187.307724,31.76000023
2/4/2021,290.7375488,141.8794708,189.389801,32.04999924
2/5/2021,290.7093201,143.0413361,190.780899,34.04999924
2/8/2021,298.0419617,143.7798615,189.8834076,36.04999924
2/9/2021,296.4344177,146.0314941,193.8321686,38.16999817
2/10/2021,294.8456726,146.923111,192.4142761,35.70000076
2/11/2021,295.6165161,147.2113647,192.2975922,33.11000061
2/12/2021,294.2440186,148.4542236,191.9655151,31.90999985
2/16/2021,298.0889282,147.0942841,192.97966,27.84000015
2/17/2021,293.3792419,148.148056,191.5616608,27.07999992
2/18/2021,282.2580566,147.0131989,193.3386078,25.17000008
2/19/2021,310.2252502,148.4092255,190.4757538,29
2/22/2021,317.2853088,149.8862762,190.314209,28
2/23/2021,317.1912842,150.7238922,189.6501007,26.75
2/24/2021,324.9469299,151.3633575,191.4001465,26.38999939
2/25/2021,327.1749268,149.6881104,189.3180237,23.95999908
2/26/2021,328.199646,147.2293396,186.1395721,23.89999962
3/1/2021,337.9669495,150.462677,188.0448303,24.80999947
3/2/2021,330.3805542,151.0210876,188.424057,24.47999954
3/3/2021,322.5028076,151.2642822,185.8506317,23.59000015
3/4/2021,317.6989441,149.3008728,184.9656372,24.72999954
3/5/2021,328.8670959,153.5789642,187.2502136,23.95000076
3/8/2021,332.505127,155.5334015,188.8213654,22.52000046
3/9/2021,331.5556335,151.9757843,188.3157196,24.26000023
3/10/2021,339.5745239,155.2901764,192.6139069,24.75
3/11/2021,342.6203613,155.5153503,191.0427399,26.72999954
3/12/2021,347.3489685,158.7756805,191.7380066,26.92000008
3/15/2021,351.9365234,159.1539764,199.0701904,26.79000092
3/16/2021,351.1374817,157.9020233,198.5283661,25.61000061
3/17/2021,356.5335388,159.8834839,202.3660431,25.20999908
3/18/2021,357.6146545,161.4326172,201.2734222,23.97999954
3/19/2021,350.1598206,159.9735413,200.858078,24.31999969
3/22/2021,349.3230896,159.0188599,203.2329102,24.21999931
3/23/2021,336.0680542,157.4967957,202.6007996,23.26000023
3/24/2021,339.2831116,158.8928223,202.3118591,21.87999916
3/25/2021,344.8201599,162.1711578,202.4473114,22.57999992
3/26/2021,349.9812012,163.5041199,203.3593292,22.57999992
3/29/2021,345.9200439,165.0892639,205.2916718,21.72999954
3/30/2021,352.3753967,164.0084839,203.1516266,22.04000092
3/31/2021,352.5827942,163.5220947,202.3931274,23.29000092
4/1/2021,350.6790771,162.8646545,203.3593292,23.06999969
4/5/2021,353.2141113,167.1517334,206.6461945,23.44000053
4/6/2021,353.9679565,166.7194366,209.409256,23.27000046
4/7/2021,353.1952209,166.4311981,210.0413055,22.89999962
4/8/2021,352.5166626,166.8935242,207.9103088,23.40999985
4/9/2021,355.2778931,165.8873138,209.0209656,24.04000092
4/12/2021,356.465271,167.6459198,208.5514374,23.34000015
4/13/2021,356.8517151,165.2346649,208.8765106,25.42000008
4/14/2021,359.5185547,166.3224335,207.9644775,23.70000076
4/15/2021,360.1217651,166.7303772,208.8404236,23.14999962
4/16/2021,360.9980774,167.2198944,210.465744,22.46999931
4/19/2021,358.7835388,167.509964,209.318924,21.94000053
4/20/2021,348.9356079,166.8572693,210.4024963,21.78000069
4/21/2021,353.9586182,168.4708405,209.7252655,22.62999916
4/22/2021,347.1357422,167.2470551,210.3573914,22.86000061
4/23/2021,354.5899353,169.0419312,211.8202057,23.40999985
4/26/2021,358.5290833,167.8725739,209.7704315,24.11000061
4/27/2021,360.329071,168.5070801,212.1813965,23.87999916
4/28/2021,357.9165344,167.9359589,209.860733,23.85000038
4/29/2021,354.7030945,172.8763733,212.3890533,23.37000084
4/30/2021,349.4822388,172.4412384,213.1746979,23.04000092
5/3/2021,352.2340393,173.7647552,212.7050934,22.29999924
5/4/2021,357.7092896,174.0366516,211.1700439,21.63999939
5/5/2021,357.0307312,172.8491364,212.2355804,21.14999962
5/6/2021,367.4440308,174.6620941,212.0730133,20.09000015
5/7/2021,371.5057983,176.602005,212.0549774,19.75
5/10/2021,368.8482666,176.4026184,214.1047211,18.46999931
5/11/2021,361.120697,173.6287384,211.1700439,20.20999908
5/12/2021,352.1021423,169.4045258,205.8244171,18.88999939
5/13/2021,356.3239136,173.4021454,207.4768677,18.37000084
5/14/2021,361.8746338,173.9913483,209.2377014,20.07999992
5/17/2021,361.4505005,173.7284546,209.2015533,20.45999908
5/18/2021,348.3890991,171.6435394,209.4273224,21.23999977
5/19/2021,337.7684631,170.8911743,207.8200226,20.67000008
5/20/2021,334.7528381,171.3806458,209.6530457,20.61000061
5/21/2021,339.0218201,172.1239471,208.8042908,20.75
5/24/2021,338.6542664,171.870163,209.409256,21.21999931
5/25/2021,339.9076538,171.2446594,209.6169281,21.47999954
5/26/2021,337.127655,171.3444214,209.8065338,22.12000084
5/27/2021,341.3401184,172.8401184,212.0730133,22.70000076
5/28/2021,340.2940979,172.1511536,212.3635864,22.95000076
6/1/2021,343.6018066,171.8157959,211.773407,23.05999947
6/2/2021,336.1569519,173.6287384,212.2636871,24.45000076
6/3/2021,338.2302246,172.96698,211.0561066,23.62999916
6/4/2021,336.0910645,175.4689331,211.9005585,24.03000069
6/7/2021,334.9507141,173.837204,210.3660736,24.45999908
6/8/2021,336.0344543,174.6983948,211.2286072,24.37999916
6/9/2021,329.3907166,173.927887,210.166275,24.17000008
6/10/2021,321.7668457,173.5743561,212.999115,24.13999939
6/11/2021,321.8893738,173.5834351,215.1238098,24.67000008
6/14/2021,316.2067871,172.9942017,215.1691742,25
6/15/2021,318.6193237,174.4536591,214.597168,24.40999985
6/16/2021,317.1679993,172.3052673,213.898056,24.79999924
6/17/2021,309.4592896,170.1296844,212.3545227,25.45000076
6/18/2021,310.0153503,167.8362427,208.4865875,25.37000084
6/21/2021,318.4119263,172.9398346,211.4646912,25.42000008
6/22/2021,322.3887634,171.8520203,212.3545227,25.39999962
6/23/2021,327.7132568,169.3410492,211.773407,26.27000046
6/24/2021,330.4179077,170.5194855,211.8551483,26.53000069
6/25/2021,329.8241577,172.0605011,211.0289154,26.78000069
6/28/2021,329.72995,171.2084351,209.8213043,27.37999916
6/29/2021,329.6732788,169.2413177,209.1675415,26.62999916
6/30/2021,333.2445984,170.6554718,209.7304993,26.36000061
7/1/2021,334.7375183,171.5494995,210.8926849,24.71999931
